PersonPriceID,PersonID,CategoryName,ListedCount,AvgPrice,MaxPrice,MinPrice,SaleCount,GradedCount,GradedSaleCount,GradedAvgPrice,AuctionCount,AuctionSaleCount,AuctionAvgPrice,AuctionMedianPrice,FirstName,LastName,PlayerName,DeceasedYear,ItemAuctionSellPercent
493487,9679,Trading Cards,614,36.8246,350.00,1.99,194,211,37,53.9964,439,176,34.9211,24.845,Whitey,Ford,Whitey Ford,NULL,0.4009111617312072892
494800,10662,Photos,486,64.6475,549.99,0.99,147,167,47,60.9113,360,99,25.531,22.50,Bob,Gibson,Bob Gibson,NULL,0.2750000000000000000
494808,10662,Trading Cards,601,27.0044,390.00,0.99,213,127,33,37.5857,454,196,24.9754,15.50,Bob,Gibson,Bob Gibson,NULL,0.4317180616740088105
496472,11911,Photos,779,27.9848,199.99,0.99,151,302,32,27.8037,583,118,22.1025,17.375,Tony,Gwynn,Tony Gwynn,NULL,0.2024013722126929674
496481,11911,Trading Cards,936,17.6427,350.00,0.83,322,264,25,27.9742,740,307,15.5998,10.25,Tony,Gwynn,Tony Gwynn,NULL,0.4148648648648648648
497961,12970,Photos,461,38.973,224.00,2.25,89,178,33,36.7862,339,73,27.5495,24.56,Rickey,Henderson,Rickey Henderson,NULL,0.2153392330383480825
497969,12970,Trading Cards,346,41.1103,270.00,0.75,141,136,27,51.828,274,133,36.7945,21.28,Rickey,Henderson,Rickey Henderson,NULL,0.4854014598540145985
499719,14406,Photos,1184,10.4519,162.99,0.99,225,218,32,9.7775,988,187,9.5377,6.05,Monte,Irvin,Monte Irvin,NULL,0.1892712550607287449
499725,14406,Trading Cards,618,10.6638,89.00,0.99,146,197,20,28.0347,464,133,10.3259,5.99,Monte,Irvin,Monte Irvin,NULL,0.2866379310344827586
499964,14572,Photos,1066,40.3302,750.00,0.99,248,287,43,47.4855,875,203,36.2986,25.99,Reggie,Jackson,Reggie Jackson,NULL,0.2320000000000000000
499973,14572,Trading Cards,592,35.9473,233.51,0.99,250,170,26,46.5075,467,229,31.7392,20.55,Reggie,Jackson,Reggie Jackson,NULL,0.4903640256959314775
501460,15611,Photos,652,21.9726,152.50,0.99,171,180,36,37.2733,491,151,19.0305,12.01,Al,Kaline,Al Kaline,NULL,0.3075356415478615071
501468,15611,Trading Cards,948,19.6019,173.50,0.99,391,245,41,41.8167,736,370,18.5578,11.52,Al,Kaline,Al Kaline,NULL,0.5027173913043478260
501666,15798,Photos,1185,8.9995,29.99,0.01,173,239,31,11.9985,1018,147,7.3411,6.49,George,Kell,George Kell,2009,0.1444007858546168958
501673,15798,Trading Cards,1059,8.5892,203.51,0.75,245,178,22,24.7466,878,232,7.7301,4.26,George,Kell,George Kell,2009,0.2642369020501138952
502015,16062,Photos,994,26.2276,305.03,1.25,230,382,61,25.7423,773,161,18.4819,15.50,Harmon,Killebrew,Harmon Killebrew,NULL,0.2082794307891332470
502023,16062,Trading Cards,868,26.5029,669.96,0.39,382,260,56,78.683,649,341,24.5868,11.20,Harmon,Killebrew,Harmon Killebrew,NULL,0.5254237288135593220
502053,16108,Photos,651,14.5839,81.05,2.70,115,237,26,22.1679,474,84,13.4075,10.50,Ralph,Kiner,Ralph Kiner,NULL,0.1772151898734177215
502062,16108,Trading Cards,490,17.4306,129.95,0.99,160,141,17,24.9217,343,137,13.8991,10.51,Ralph,Kiner,Ralph Kiner,NULL,0.3994169096209912536
502569,16516,Photos,944,111.5235,599.99,3.13,284,327,78,131.1735,763,261,108.8018,94.67,Sandy,Koufax,Sandy Koufax,NULL,0.3420707732634338138
502577,16516,Trading Cards,452,143.8755,1296.00,9.99,144,211,39,194.2991,363,131,127.9705,108.50,Sandy,Koufax,Sandy Koufax,NULL,0.3608815426997245179
503934,17474,Photos,543,10.5056,56.00,0.99,82,218,25,11.84,386,70,9.0802,8.53,Bob,Lemon,Bob Lemon,2000,0.1813471502590673575
503941,17474,Trading Cards,410,14.4448,62.00,0.99,107,155,25,18.9886,253,92,12.105,7.79,Bob,Lemon,Bob Lemon,2000,0.3636363636363636363
504753,18063,Trading Cards,227,18.8843,75.00,3.00,72,119,24,21.691,139,56,15.8173,11.505,Al,Lopez,Al Lopez,2005,0.4028776978417266187
505772,18839,Photos,682,18.6248,99.99,0.99,164,233,37,24.0753,515,132,13.6104,11.495,Juan,Marichal,Juan Marichal,NULL,0.2563106796116504854
